"game_id","team","def_int","def_int_td","sacks","fumbles_rec","fumbles_rec_td","blocked_kick","safety","def_two_point_conv","total_ret_td","Team_abbrev","Opponent_abbrev","Opponent_score","points_allowed_0","points_allowed_1_6","points_allowed_7_13","points_allowed_14_20","points_allowed_21_27","points_allowed_28_34","points_allowed_35","Total_DKP","Total_FDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209080ram","BUF",3,0,7,0,0,0,0,0,0,"BUF","LAR",10,0,0,1,0,0,0,0,17,17,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","LAR",2,0,2,2,0,0,0,0,0,"LAR","BUF",31,0,0,0,0,0,1,0,9,9,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209110atl","ATL",0,0,4,1,0,0,0,0,0,"ATL","NOR",27,0,0,0,0,1,0,0,6,6,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","NOR",0,0,0,2,0,1,0,0,0,"NOR","ATL",26,0,0,0,0,1,0,0,6,6,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110car","CAR",0,0,1,0,0,0,0,0,0,"CAR","CLE",26,0,0,0,0,1,0,0,1,1,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","CLE",1,0,4,0,0,0,0,0,0,"CLE","CAR",24,0,0,0,0,1,0,0,6,6,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110chi","CHI",1,0,2,1,0,0,0,0,0,"CHI","SFO",10,0,0,1,0,0,0,0,10,10,"SFO","CHI",10,19,"False","outdoors","grass ",72,45,0,-6,"SFO",38,2022-09-11
"202209110chi","SFO",1,0,2,0,0,0,0,0,0,"SFO","CHI",19,0,0,0,1,0,0,0,5,5,"SFO","CHI",10,19,"False","outdoors","grass ",72,45,0,-6,"SFO",38,2022-09-11
"202209110cin","CIN",0,0,1,0,0,0,0,0,0,"CIN","PIT",23,0,0,0,0,1,0,0,1,1,"PIT","CIN",23,20,"True","outdoors","fieldturf ",72,45,0,-7,"CIN",44,2022-09-11
"202209110cin","PIT",4,1,7,1,0,0,0,0,0,"PIT","CIN",20,0,0,0,1,0,0,0,24,24,"PIT","CIN",23,20,"True","outdoors","fieldturf ",72,45,0,-7,"CIN",44,2022-09-11
"202209110crd","ARI",0,0,0,1,0,0,0,0,0,"ARI","KAN",44,0,0,0,0,0,0,1,-2,-2,"KAN","ARI",44,21,"False","retractable roof (closed)","grass ",72,45,0,-6.5,"KAN",54,2022-09-11
"202209110crd","KAN",0,0,3,0,0,0,0,0,0,"KAN","ARI",21,0,0,0,0,1,0,0,3,3,"KAN","ARI",44,21,"False","retractable roof (closed)","grass ",72,45,0,-6.5,"KAN",54,2022-09-11
"202209110dal","DAL",1,0,2,0,0,0,0,0,0,"DAL","TAM",19,0,0,0,1,0,0,0,5,5,"TAM","DAL",19,3,"False","retractable roof (closed)","matrixturf",72,45,0,-2,"TAM",50,2022-09-11
"202209110dal","TAM",1,0,4,0,0,0,0,0,0,"TAM","DAL",3,0,1,0,0,0,0,0,13,13,"TAM","DAL",19,3,"False","retractable roof (closed)","matrixturf",72,45,0,-2,"TAM",50,2022-09-11
"202209110det","DET",0,0,1,0,0,0,0,0,0,"DET","PHI",38,0,0,0,0,0,0,1,-3,-3,"PHI","DET",38,35,"False","dome","fieldturf ",72,45,0,-6,"PHI",48.5,2022-09-11
"202209110det","PHI",1,1,1,0,0,0,0,0,0,"PHI","DET",35,0,0,0,0,0,0,1,5,5,"PHI","DET",38,35,"False","dome","fieldturf ",72,45,0,-6,"PHI",48.5,2022-09-11
"202209110htx","HOU",1,0,2,1,0,0,0,0,0,"HOU","IND",20,0,0,0,1,0,0,0,7,7,"IND","HOU",20,20,"True","retractable roof (closed)","astroturf",72,45,0,-7,"IND",45.5,2022-09-11
"202209110htx","IND",0,0,3,1,0,0,0,0,0,"IND","HOU",20,0,0,0,1,0,0,0,6,6,"IND","HOU",20,20,"True","retractable roof (closed)","astroturf",72,45,0,-7,"IND",45.5,2022-09-11
"202209110mia","MIA",1,0,2,2,1,0,0,0,0,"MIA","NWE",7,0,0,1,0,0,0,0,18,18,"NWE","MIA",7,20,"False","outdoors","grass ",72,45,0,-3,"MIA",46,2022-09-11
"202209110mia","NWE",0,0,3,0,0,0,0,0,0,"NWE","MIA",20,0,0,0,1,0,0,0,4,4,"NWE","MIA",7,20,"False","outdoors","grass ",72,45,0,-3,"MIA",46,2022-09-11
"202209110min","GNB",0,0,1,0,0,0,0,0,0,"GNB","MIN",23,0,0,0,0,1,0,0,1,1,"GNB","MIN",7,23,"False","dome","sportturf",72,45,0,-2.5,"MIN",46,2022-09-11
