"game_id","Off_abbrev","Def_abbrev","fga","fgm","xpa","xpm","fga_0_39","fgm_0_39","fga_40_49","fgm_40_49","fga_50","fgm_50","player","Total_DKP","Total_FDP","Total_SDP","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209080ram","BUF","LAR",1,1,4,4,0,0,0,0,0,0,"Tyler Bass",4,4,4,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","LAR","BUF",1,1,1,1,0,0,0,0,1,1,"Matt Gay",6,6,6,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209110atl","ATL","NOR",5,4,2,2,1,1,1,1,3,2,"Younghoe Koo",19,19,19,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110atl","NOR","ATL",3,2,1,1,0,0,2,1,1,1,"Wil Lutz",10,10,10,"NOR","ATL",27,26,"False","retractable roof (closed)","fieldturf",72,45,0,-5.5,"NOR",43.5,2022-09-11
"202209110car","CAR","CLE",1,1,3,3,1,1,0,0,0,0,"Eddy Pineiro",6,6,6,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110car","CLE","CAR",4,4,2,2,3,3,0,0,1,1,"Cade York",16,16,16,"CLE","CAR",26,24,"False","outdoors","grass ",72,45,0,-1.5,"CAR",42,2022-09-11
"202209110chi","SFO","CHI",1,1,1,1,1,1,0,0,0,0,"Robbie Gould",4,4,4,"SFO","CHI",10,19,"False","outdoors","grass ",72,45,0,-6,"SFO",38,2022-09-11
"202209110chi","0","0",0,0,3,1,0,0,0,0,0,0,"Cairo Santos",1,1,1,"SFO","CHI",10,19,"False","outdoors","grass ",72,45,0,-6,"SFO",38,2022-09-11
"202209110cin","CIN","PIT",3,2,1,0,2,1,0,0,1,1,"Evan McPherson",8,8,8,"PIT","CIN",23,20,"True","outdoors","fieldturf ",72,45,0,-7,"CIN",44,2022-09-11
"202209110cin","PIT","CIN",4,3,2,2,1,1,1,1,2,1,"Chris Boswell",14,14,14,"PIT","CIN",23,20,"True","outdoors","fieldturf ",72,45,0,-7,"CIN",44,2022-09-11
"202209110crd","KAN","ARI",1,1,4,4,0,0,0,0,0,0,"Harrison Butker",4,4,4,"KAN","ARI",44,21,"False","retractable roof (closed)","grass ",72,45,0,-6.5,"KAN",54,2022-09-11
"202209110crd","0","0",0,0,1,1,0,0,0,0,0,0,"Matt Prater",1,1,1,"KAN","ARI",44,21,"False","retractable roof (closed)","grass ",72,45,0,-6.5,"KAN",54,2022-09-11
"202209110crd","0","0",0,0,2,1,0,0,0,0,0,0,"Justin Reid",1,1,1,"KAN","ARI",44,21,"False","retractable roof (closed)","grass ",72,45,0,-6.5,"KAN",54,2022-09-11
"202209110dal","TAM","DAL",5,4,1,1,3,2,2,2,0,0,"Ryan Succop",15,15,15,"TAM","DAL",19,3,"False","retractable roof (closed)","matrixturf",72,45,0,-2,"TAM",50,2022-09-11
"202209110dal","DAL","TAM",1,1,0,0,0,0,0,0,1,1,"Brett Maher",5,5,5,"TAM","DAL",19,3,"False","retractable roof (closed)","matrixturf",72,45,0,-2,"TAM",50,2022-09-11
"202209110det","0","0",0,1,5,5,1,1,0,0,0,0,"Jake Elliott",8,8,8,"PHI","DET",38,35,"False","dome","fieldturf ",72,45,0,-6,"PHI",48.5,2022-09-11
"202209110det","0","0",0,0,5,5,0,0,0,0,0,0,"Austin Seibert",5,5,5,"PHI","DET",38,35,"False","dome","fieldturf ",72,45,0,-6,"PHI",48.5,2022-09-11
"202209110htx","HOU","IND",2,2,2,2,0,0,0,0,0,0,"Ka'imi Fairbairn",2,2,2,"IND","HOU",20,20,"True","retractable roof (closed)","astroturf",72,45,0,-7,"IND",45.5,2022-09-11
"202209110htx","IND","HOU",3,2,2,2,0,0,0,0,0,0,"Rodrigo Blankenship",2,2,2,"IND","HOU",20,20,"True","retractable roof (closed)","astroturf",72,45,0,-7,"IND",45.5,2022-09-11
"202209110mia","MIA","NWE",2,2,2,2,0,0,2,2,0,0,"Jason Sanders",10,10,10,"NWE","MIA",7,20,"False","outdoors","grass ",72,45,0,-3,"MIA",46,2022-09-11
"202209110mia","0","0",0,0,1,1,0,0,0,0,0,0,"Nick Folk",1,1,1,"NWE","MIA",7,20,"False","outdoors","grass ",72,45,0,-3,"MIA",46,2022-09-11
"202209110min","MIN","GNB",3,3,2,2,2,2,0,0,1,1,"Greg Joseph",13,13,13,"GNB","MIN",7,23,"False","dome","sportturf",72,45,0,-2.5,"MIN",46,2022-09-11
"202209110min","0","0",0,0,1,1,0,0,0,0,0,0,"Mason Crosby",1,1,1,"GNB","MIN",7,23,"False","dome","sportturf",72,45,0,-2.5,"MIN",46,2022-09-11
"202209110nyj","NYJ","BAL",2,1,1,0,0,0,0,0,0,0,"Greg Zuerlein",0,0,0,"BAL","NYJ",24,9,"False","outdoors","fieldturf ",72,45,0,-6.5,"BAL",44,2022-09-11
"202209110nyj","BAL","NYJ",1,1,3,3,1,1,0,0,0,0,"Justin Tucker",6,6,6,"BAL","NYJ",24,9,"False","outdoors","fieldturf ",72,45,0,-6.5,"BAL",44,2022-09-11
"202209110oti","0","0",0,0,1,1,0,0,0,0,0,0,"Graham Gano",1,1,1,"NYG","TEN",21,20,"False","outdoors","grass ",72,45,0,-5,"TEN",44,2022-09-11
"202209110oti","TEN","NYG",3,2,2,2,1,1,2,1,0,0,"Randy Bullock",9,9,9,"NYG","TEN",21,20,"False","outdoors","grass ",72,45,0,-5,"TEN",44,2022-09-11
