"game_id","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","Total_SDP","Off_SDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date"
"202209080ram","AlleJo02","QB","Josh Allen","BUF",26,31,297,3,2,2,5,53,112,10,56,1,13,0,0,0,0,0,0,5,5,43,38,5,"BUF","LAR",0,0,0,0,0,0,33.48,33.48,31.48,31.48,33.48,33.48,227,3,7,0,36,20,0,0,0,0,59,100,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","SingDe00","RB","Devin Singletary","BUF",0,0,0,0,0,0,0,0,0,8,48,0,13,2,2,14,0,8,0,0,8,8,0,8,"BUF","LAR",0,0,0,0,0,0,8.2,8.2,7.2,7.2,7.2,7.2,0,0,0,0,33,15,0,-8,22,0,35,59,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","MossZa00","RB","Zack Moss","BUF",0,0,0,0,0,0,0,0,0,6,15,0,8,6,6,21,0,8,1,0,6,6,0,6,"BUF","LAR",0,0,0,0,0,0,8.6,8.6,4.6,4.6,4.6,4.6,0,0,0,0,12,3,0,-1.2,22,0,22,37,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","CookJa01","RB","James Cook","BUF",0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,1,1,0,1,"BUF","LAR",0,0,0,0,0,0,-0.8,-0.8,-1.8,-1.8,-1.8,-1.8,0,0,0,0,2,0,0,0,0,0,3,5,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","DiggSt00","WR","Stefon Diggs","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,122,1,53,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,1,29.2,29.2,22.2,22.2,24.2,24.2,0,0,0,0,0,0,0,99,27,0,38,64,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","DaviGa01","WR","Gabriel Davis","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,88,1,47,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,18.8,18.8,16.8,16.8,16.8,16.8,0,0,0,0,0,0,0,87,18,0,58,98,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","CrowJa00","WR","Jamison Crowder","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,28,0,11,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,5.8,5.8,4.3,4.3,4.3,4.3,0,0,0,0,0,0,0,24,16,0,18,31,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","McKeIs00","WR","Isaiah McKenzie","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,19,1,12,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,9.9,9.9,8.9,8.9,8.9,8.9,0,0,0,0,0,0,0,23.1,1,1,26,44,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","KnoxDa00","TE","Dawson Knox","BUF",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,5,0,0,0,0,0,0,"BUF","LAR",0,0,0,0,0,0,1.5,1.5,1,1,1,1,0,0,0,0,0,0,0,3,8,0,51,86,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
"202209080ram","StafMa00","QB","Matthew Stafford","LAR",29,41,240,1,3,7,49,28,63.1,1,2,0,2,0,0,0,0,0,0,1,0,49,49,0,"LAR","BUF",0,0,0,0,0,0,10.8,10.8,7.8,7.8,10.8,10.8,239,7,1,1,2,0,0,0,0,0,67,100,"BUF","LAR",31,10,"False","dome","matrixturf",72,45,0,-2.5,"BUF",52,2022-09-08
